Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ACQUEDOLCI;912;62;4;5;49;8;331;325;524;30;6
ALCARA LI FUSI;108;53;0;2;1;3;58;111;261;1;0
ALI';110;20;0;1;1;0;53;23;43;10;0
ALI' TERME;143;34;0;2;21;7;181;65;333;35;3
ANTILLO;200;0;1;0;3;3;68;16;77;31;1
BARCELLONA POZZO DI GOTTO;2417;2232;24;91;508;119;2493;1271;4670;418;48
BASICO';46;17;0;1;6;1;17;24;74;2;0
BROLO;572;112;11;18;159;18;616;1052;903;36;58
CAPIZZI;274;13;1;4;10;7;140;282;147;0;2
CAPO D'ORLANDO;1228;236;6;14;130;39;915;457;1904;25;21
CAPRI LEONE;951;38;3;10;33;9;430;69;505;5;3
CARONIA;301;54;2;2;42;3;145;141;407;1;3
CASALVECCHIO SICULO;40;25;0;0;3;2;49;12;280;10;1
CASTEL DI LUCIO;34;3;0;10;29;0;52;138;273;5;0
CASTELL'UMBERTO;264;35;2;8;82;4;286;197;278;2;9
CASTELMOLA;109;15;0;1;10;1;68;121;63;4;0
CASTROREALE;183;60;1;2;19;8;95;232;307;6;11
CESARO';158;25;1;4;6;11;70;132;387;66;1
CONDRO';90;70;2;1;10;6;48;29;45;38;3
FALCONE;406;64;1;1;39;6;137;89;282;31;6
FICARRA;57;24;1;3;29;2;87;106;323;8;1
FIUMEDINISI;146;28;0;0;5;1;79;37;57;11;0
FLORESTA;38;4;0;1;15;1;15;34;26;0;0
FONDACHELLI-FANTINA;97;149;0;1;7;0;97;38;62;9;2
FORZA D'AGRO';128;10;0;6;3;3;110;44;147;81;2
FRANCAVILLA DI SICILIA;211;25;1;2;14;6;254;213;614;19;6
FRAZZANO';52;3;1;0;8;2;46;93;126;1;1
FURCI SICULO;115;94;2;8;40;5;335;322;338;55;4
FURNARI;250;78;3;4;48;14;208;153;324;47;3
GAGGI;184;92;1;4;15;10;195;46;271;123;3
GALATI MAMERTINO;190;28;0;4;18;3;104;251;494;4;1
GALLODORO;23;4;1;0;0;2;21;4;66;27;0
GIARDINI NAXOS;677;130;1;4;109;53;721;216;958;75;16
GIOIOSA MAREA;461;64;2;14;96;23;440;383;1052;13;8
GRANITI;146;11;2;3;8;6;65;209;93;193;1
GUALTIERI SICAMINO';130;60;2;1;19;6;110;82;149;14;1
ITALA;73;22;1;6;15;5;131;47;200;46;2
LENI;115;44;0;2;17;2;69;16;119;4;1
LETOJANNI;205;38;0;6;19;5;199;49;550;26;7
LIBRIZZI;59;35;1;0;8;5;134;217;189;1;2
LIMINA;9;8;1;0;28;1;16;53;83;313;0
LIPARI;618;902;168;13;168;19;559;794;734;22;12
LONGI;46;5;0;0;5;0;42;39;198;2;1
MALFA;27;35;0;1;10;3;38;120;88;0;0
MALVAGNA;21;14;0;0;4;4;40;14;91;4;1
MANDANICI;96;14;2;2;5;1;74;25;92;18;3
MAZZARRA' SANT'ANDREA;206;74;0;1;7;1;79;93;84;27;2
MERI';164;181;1;4;11;8;119;210;176;6;1
MESSINA;13126;4016;94;443;3940;624;16485;7687;22751;738;382
MILAZZO;1860;1036;25;61;686;87;2430;908;4009;67;100
MILITELLO ROSMARINO;108;23;1;1;3;3;71;190;62;4;0
MIRTO;74;2;0;1;58;4;106;35;117;1;0
MISTRETTA;690;113;14;14;99;30;256;440;940;9;17
MOIO ALCANTARA;51;13;0;1;7;3;31;23;95;8;0
MONFORTE SAN GIORGIO;144;62;1;4;87;4;167;108;400;8;4
MONGIUFFI MELIA;17;7;0;0;0;2;21;17;231;37;0
MONTAGNAREALE;84;16;0;0;7;1;115;233;105;5;2
MONTALBANO ELICONA;183;39;0;1;10;8;75;193;335;72;1
MOTTA CAMASTRA;46;5;0;2;3;7;32;26;159;93;1
MOTTA D'AFFERMO;60;4;0;1;6;2;21;43;150;0;3
NASO;329;126;2;4;50;5;181;183;452;6;4
NIZZA DI SICILIA;188;39;0;2;37;9;413;76;481;49;6
NOVARA DI SICILIA;78;24;1;0;13;6;61;85;175;27;1
OLIVERI;386;197;3;10;14;6;176;191;284;60;5
PACE DEL MELA;321;517;3;9;73;21;492;98;607;21;16
PAGLIARA;146;9;0;1;9;2;83;83;114;28;4
PATTI;1348;168;2;9;138;42;752;751;1762;40;15
PETTINEO;143;15;1;4;13;3;47;170;189;9;2
PIRAINO;302;34;1;13;39;13;277;288;572;12;16
RACCUJA;123;10;0;0;18;0;28;77;217;2;3
REITANO;61;12;0;1;17;3;22;67;76;0;0
ROCCAFIORITA;3;0;0;0;0;1;4;29;38;35;0
ROCCALUMERA;275;86;1;3;34;10;334;93;615;32;4
ROCCAVALDINA;69;79;1;2;18;4;95;39;160;13;0
ROCCELLA VALDEMONE;29;11;1;0;0;2;20;40;63;2;0
RODI' MILICI;325;25;2;3;15;0;100;150;227;4;2
ROMETTA;997;312;8;26;112;27;806;255;983;38;24
SAN FILIPPO DEL MELA;320;211;6;11;144;19;591;237;1040;27;16
SAN FRATELLO;688;17;1;0;4;4;79;164;418;5;1
SAN MARCO D'ALUNZIO;143;12;1;4;22;2;117;144;313;6;1
SAN PIER NICETO;378;144;3;2;60;5;185;42;250;4;2
SAN PIERO PATTI;156;37;3;3;48;3;114;127;268;4;2
SAN SALVATORE DI FITALIA;221;17;1;2;11;11;95;60;114;7;2
SAN TEODORO;67;14;1;0;5;3;42;114;291;0;0
SANT'AGATA DI MILITELLO;945;118;4;13;119;33;687;1166;1337;23;29
SANT'ALESSIO SICULO;96;35;0;2;13;4;120;54;216;56;2
SANT'ANGELO DI BROLO;182;66;3;3;8;6;159;341;615;18;5
SANTA DOMENICA VITTORIA;88;25;0;0;1;10;36;55;213;0;0
SANTA LUCIA DEL MELA;256;133;1;8;64;13;274;153;662;28;6
SANTA MARINA SALINA;57;29;0;1;17;0;49;12;136;1;0
SANTA TERESA DI RIVA;488;211;7;48;65;23;757;229;1266;216;29
SANTO STEFANO DI CAMASTRA;380;52;3;2;36;9;240;147;591;4;3
SAPONARA;170;78;3;6;25;12;240;424;740;8;6
SAVOCA;90;12;2;2;6;2;111;22;276;52;1
SCALETTA ZANCLEA;148;19;2;5;52;11;208;92;214;42;2
SINAGRA;145;17;0;4;27;3;150;151;598;52;3
SPADAFORA;916;214;5;33;80;20;630;331;750;22;22
TAORMINA;772;214;5;8;117;36;780;215;1123;149;27
TERME VIGLIATORE;500;250;6;13;80;20;396;210;725;28;3
TORREGROTTA;685;138;9;23;112;23;649;149;767;23;10
TORRENOVA;276;62;2;7;37;9;289;167;745;7;3
TORTORICI;1239;88;17;24;63;44;653;338;1267;57;32
TRIPI;58;42;1;0;1;0;22;11;149;2;0
TUSA;131;51;1;3;84;5;121;239;427;4;3
UCRIA;50;9;1;1;8;1;49;61;156;1;5
VALDINA;100;38;1;1;13;3;94;56;146;7;3
VENETICO;328;126;3;6;47;8;396;92;345;10;5
VILLAFRANCA TIRRENA;616;229;3;23;75;25;807;710;1011;38;15
