Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGIRA ;7975;3036;46;271
AIDONE ;4597;3315;403;616
ASSORO ;4414;2135;45;186
BARRAFRANCA ;11813;4353;225;257
CALASCIBETTA ;4093;1773;24;156
CATENANUOVA ;4283;1895;32;120
CENTURIPE ;6237;2343;23;160
CERAMI ;2100;741;15;108
ENNA ;24389;10800;74;749
GAGLIANO CASTELFERRATO ;3430;1214;12;123
LEONFORTE ;13268;4585;80;401
NICOSIA ;13235;3539;70;482
NISSORIA ;3005;1141;26;117
PIAZZA ARMERINA ;18544;6600;75;436
PIETRAPERZIA ;6703;2624;32;201
REGALBUTO ;8255;2472;26;186
SPERLINGA ;899;352;6;28
TROINA ;8743;3553;71;322
VALGUARNERA CAROPEPE ;7815;2766;35;161
VILLAROSA ;4295;1773;26;144
